position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week
183,0JiVRyTJcJnmlwCZ854K4p,Alone,Alan Walker,213160,,1,183,new,2017,1
184,0HEZXwSywflxeQcysigawO,126 Cabides,Simone & Simaria,212229,,1,184,new,2017,1
185,0gb1J5UrTpzaU1s3nupgCd,No Money,Galantis,212146,,1,185,new,2017,1
186,6nxQdXa1uAL0rY72wPZu89,Love Me Now,John Legend,210898,,1,186,new,2017,1
187,5NH1hgZbrQGXMMZKcBQV3l,O Mar Parou,Michel Teló,209824,,1,187,new,2017,1
188,6rQSrBHf7HlZjtcMZ4S4bO,Safari,J Balvin,208356,,1,188,new,2017,1
189,1DdnD06naRACOpK8lAnLp1,O Que É Amor Pra Você - Ao Vivo,Marília Mendonça,207959,,1,189,new,2017,1
190,2655xYZ347fG2N6OjkoMQ8,Logo Eu,Jorge & Mateus,205415,,1,190,new,2017,1
191,6vARbzVXg90V8fYmgks5u3,Minha Felicidade,Roberta Campos,204732,,1,191,new,2017,1
192,2wmY09fsvmYgA7bKZzjAVt,Se Olha No Espelho - Ao Vivo,Maiara & Maraisa,203801,,1,192,new,2017,1
193,4vb4mFvYsr2h6enhjJsq9Y,Water Under the Bridge,Adele,203282,,1,193,new,2017,1
194,4OZEu0Vwq0RB2LAq14v99n,Middle,DJ Snake,203249,,1,194,new,2017,1
195,5oVVAwRQnXJDEHFNeganG0,Rg,Luan Santana,202715,,1,195,new,2017,1
196,77VvA3wNFxm1P9amCKlVHQ,Camarote,Wesley Safadão,202596,,1,196,new,2017,1
197,0ADG9OgdVTL7fgREP75BrZ,Ain't My Fault,Zara Larsson,202583,,1,197,new,2017,1
198,0P3k6Jipqv1UWX0a4GmUuj,Vou Desafiar Você,Mc Sapao,202187,,1,198,new,2017,1
199,46NBoIAHrmR7qcUGCIFEjR,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,200577,,1,199,new,2017,1
200,1VapsxlgG0g2D80LeEXBqE,Alô Porteiro - Ao Vivo,Marília Mendonça,199060,,1,200,new,2017,1
1,0EPxmvsG1BY5td4aTOkWBF,Deu Onda,MC G15,3477856,1.0,2,1,0,2017,2
2,1a5Yu5L18qNxVhXx38njON,Hear Me Now,Alok,2197452,2.0,2,2,0,2017,2
3,7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,2155439,,1,3,new,2017,2
4,257tme6AhneIKAqVF1HTH4,Loka,Simone & Simaria,1477181,,1,4,new,2017,2
5,45wqPwIH4A5cr2IyyD4WKf,Eu Sei de Cor - Ao Vivo | Acústico,Marília Mendonça,1462182,4.0,2,4,-1,2017,2
6,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,1433243,3.0,2,3,-3,2017,2
7,2CW04trIoYMbroZWDzPAjs,Medo Bobo - Ao Vivo,Maiara & Maraisa,1362238,5.0,2,5,-2,2017,2
8,5aAx2yezTd8zXrkmtKl66Z,Starboy,The Weeknd,1316002,8.0,2,8,0,2017,2
9,2d3TbSkAscvT3QRQalq6uT,Te Assumi Pro Brasil - Ao Vivo,Matheus & Kauan,1266609,9.0,2,9,0,2017,2
10,6zCqeUUqLb2CapBmVwAHll,Meu Coração Deu PT - Ao Vivo,Wesley Safadão,1199990,7.0,2,7,-3,2017,2
11,2wFnRPjuqwNySFiK0Qfg8L,10% - Ao Vivo,Maiara & Maraisa,1188120,6.0,2,6,-5,2017,2
12,4FxumkF81ICxITeqxx4nK9,Sim ou não (participação especial Maluma),Anitta,1147723,10.0,2,10,-2,2017,2
13,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,DJ Snake,1139152,11.0,2,11,-2,2017,2
14,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1115103,12.0,2,12,-2,2017,2
15,6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,Ed Sheeran,1094642,,1,15,new,2017,2
16,0jIitZeIQRTaZgFQf2WpGK,Decide Aí - Na Praia / Ao Vivo,Matheus & Kauan,1036138,13.0,2,13,-3,2017,2
17,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Maroon 5,1031723,18.0,2,17,1,2017,2
18,38MpAndIjGAyVdcC6npX95,Infiel - Ao Vivo,Marília Mendonça,1005035,14.0,2,14,-4,2017,2
19,000xYdQfIZ4pDmBGzQalKU,"Eu, Você, O Mar e Ela",Luan Santana,997532,15.0,2,15,-4,2017,2
20,1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,979946,17.0,2,17,-3,2017,2
21,4pLwZjInHj3SimIyN9SnOz,Side To Side,Ariana Grande,976866,20.0,2,20,-1,2017,2
22,6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),Shakira,964175,29.0,2,22,7,2017,2
23,1vvNmPOiUuyCbgWmtc6yfm,My Way,Calvin Harris,934485,24.0,2,23,1,2017,2
24,2GfxgssRHvY1azHtaRqKoK,Paredes - Ao Vivo,Jorge & Mateus,916579,19.0,2,19,-5,2017,2
25,6vve9WKW5I7fQzkU8dNsUE,E Essa Boca Aí? - Ao Vivo,Bruninho & Davi,902164,21.0,2,21,-4,2017,2
26,5SnQDj5REQVvAdSlhqkEcE,Malbec (Part. Dennis Dj) - Ao Vivo,Henrique & Diego,901130,27.0,2,26,1,2017,2
27,2DAGCHu5aoo2FOjmtU9ojo,50 Reais,Naiara Azevedo,888809,16.0,2,16,-11,2017,2
28,6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,874036,30.0,2,28,2,2017,2
29,2Gvn46nwyQhUnQiFhlP7WX,Como Faz Com Ela - Ao Vivo,Marília Mendonça,866818,22.0,2,22,-7,2017,2
